game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS
822715,2026-07-05,Pittsburgh Pirates @ Washington Nationals,away,Bubba Chandler,R,Washington Nationals,9,5,2,2,7,0,183,False,True,0.789,0.792,0.743,0.738,0.768,0.024
822715,2026-07-05,Pittsburgh Pirates @ Washington Nationals,home,Cade Cavalli,R,Pittsburgh Pirates,9,2,5,2,4,0,164,False,True,0.765,0.763,0.664,0.69,0.716,-0.028
822879,2026-07-05,Detroit Tigers @ Texas Rangers,away,Casey Mize,R,Texas Rangers,9,5,4,0,5,0,108,False,True,0.723,0.73,0.599,0.632,0.623,-0.121
822879,2026-07-05,Detroit Tigers @ Texas Rangers,home,Kumar Rocker,R,Detroit Tigers,9,5,4,0,5,0,152,False,True,0.758,0.76,0.694,0.709,0.723,-0.021
823117,2026-07-05,Toronto Blue Jays @ Seattle Mariners,away,Trey Yesavage,R,Seattle Mariners,9,6,2,1,7,0,123,False,True,0.751,0.755,0.625,0.661,0.654,-0.09
823117,2026-07-05,Toronto Blue Jays @ Seattle Mariners,home,Emerson Hancock,R,Toronto Blue Jays,9,4,4,1,5,0,149,False,True,0.73,0.731,0.64,0.66,0.646,-0.098
823525,2026-07-05,Minnesota Twins @ New York Yankees,away,Joe Ryan,R,New York Yankees,9,6,3,0,6,0,170,False,True,0.749,0.755,0.636,0.658,0.657,-0.087
823525,2026-07-05,Minnesota Twins @ New York Yankees,home,Ryan Weathers,L,Minnesota Twins,9,2,4,3,7,0,81,False,True,0.677,0.712,0.715,0.71,0.68,-0.064
823931,2026-07-05,San Diego Padres @ Los Angeles Dodgers,away,JP Sears,L,Los Angeles Dodgers,9,5,3,1,4,1,12,True,False,0.771,0.767,0.893,0.769,0.821,0.077
823931,2026-07-05,San Diego Padres @ Los Angeles Dodgers,home,Emmet Sheehan,R,San Diego Padres,9,3,6,0,3,0,139,False,True,0.688,0.694,0.773,0.768,0.725,-0.019
824010,2026-07-05,Boston Red Sox @ Los Angeles Angels,away,Ranger Suarez,L,Los Angeles Angels,9,3,6,0,6,2,99,False,True,0.705,0.719,0.621,0.62,0.593,-0.151
824010,2026-07-05,Boston Red Sox @ Los Angeles Angels,home,Ryan Johnson,R,Boston Red Sox,9,3,6,0,3,0,50,False,True,0.691,0.705,0.87,0.791,0.758,0.014
824091,2026-07-05,Philadelphia Phillies @ Kansas City Royals,away,Aaron Nola,R,Kansas City Royals,9,3,5,1,4,1,159,False,True,0.707,0.714,0.851,0.834,0.803,0.059
824091,2026-07-05,Philadelphia Phillies @ Kansas City Royals,home,Luinder Avila,R,Philadelphia Phillies,9,5,4,0,5,0,80,False,True,0.776,0.773,0.83,0.798,0.815,0.071
824172,2026-07-05,Tampa Bay Rays @ Houston Astros,home,Peter Lambert,R,Tampa Bay Rays,9,4,4,1,5,0,139,False,True,0.786,0.781,0.645,0.67,0.7,-0.044
824333,2026-07-05,San Francisco Giants @ Colorado Rockies,away,Tyler Mahle,R,Colorado Rockies,9,4,4,1,5,0,138,False,True,0.777,0.773,0.802,0.793,0.815,0.071
824333,2026-07-05,San Francisco Giants @ Colorado Rockies,home,Tanner Gordon,R,San Francisco Giants,9,5,4,0,5,0,89,False,True,0.797,0.789,0.948,0.877,0.925,0.181
824413,2026-07-05,Chicago White Sox @ Cleveland Guardians,away,Chris Murphy,L,Cleveland Guardians,9,5,2,2,4,0,40,True,False,0.626,0.657,0.641,0.68,0.624,-0.12
824413,2026-07-05,Chicago White Sox @ Cleveland Guardians,home,Tanner Bibee,R,Chicago White Sox,9,4,4,1,5,0,191,False,True,0.746,0.754,0.674,0.687,0.689,-0.055
824497,2026-07-05,Baltimore Orioles @ Cincinnati Reds,away,Kyle Bradish,R,Cincinnati Reds,9,3,5,1,4,0,152,False,True,0.71,0.717,0.745,0.742,0.718,-0.026
824497,2026-07-05,Baltimore Orioles @ Cincinnati Reds,home,Nick Lodolo,L,Baltimore Orioles,9,3,4,2,6,1,62,False,True,0.701,0.721,0.842,0.793,0.78,0.036
824656,2026-07-05,St. Louis Cardinals @ Chicago Cubs,away,Matthew Liberatore,L,Chicago Cubs,9,3,5,1,6,1,88,False,True,0.777,0.753,0.858,0.818,0.842,0.098
824656,2026-07-05,St. Louis Cardinals @ Chicago Cubs,home,Javier Assad,R,St. Louis Cardinals,9,4,5,0,4,0,101,False,True,0.787,0.779,0.7,0.721,0.757,0.013
824902,2026-07-05,New York Mets @ Atlanta Braves,away,Nolan McLean,R,Atlanta Braves,9,5,3,1,6,0,172,False,True,0.756,0.759,0.652,0.67,0.673,-0.071
824902,2026-07-05,New York Mets @ Atlanta Braves,home,Martín Pérez,L,New York Mets,9,4,4,1,5,0,90,False,True,0.732,0.724,0.671,0.671,0.673,-0.071
824980,2026-07-05,Miami Marlins @ Athletics,away,Eury Pérez,R,Athletics,9,4,4,1,5,0,134,False,True,0.752,0.759,0.736,0.739,0.747,0.003
824980,2026-07-05,Miami Marlins @ Athletics,home,Gage Jump,L,Miami Marlins,9,5,3,1,4,0,46,True,False,0.751,0.747,0.68,0.65,0.667,-0.077
825061,2026-07-05,Milwaukee Brewers @ Arizona Diamondbacks,away,Brandon Sproat,R,Arizona Diamondbacks,9,2,3,4,6,0,153,False,True,0.705,0.723,0.768,0.774,0.739,-0.005
825061,2026-07-05,Milwaukee Brewers @ Arizona Diamondbacks,home,Eduardo Rodriguez,L,Milwaukee Brewers,9,6,3,0,3,0,112,False,True,0.669,0.695,0.601,0.629,0.618,-0.126
